Quel petit pays se situe entre la Suisse et l'Autriche?,Liechtenstein,2
Quelle est la capitale de la France?,Paris,2
Quel océan borde la côte ouest de l'Afrique?,Atlantique,2
Combien y a-t-il de jours dans une semaine?,7,2
Quel animal est le roi de la jungle?,Lion,2
Quelle planète est la plus proche du Soleil?,Mercure,2
Dans quel pays se trouve la tour de Pise?,Italie,2
Combien de continents existe-t-il sur Terre?,7,2
Quel est le plus grand mammifère du monde?,Baleine bleue,2
Qui a peint la Joconde?,Léonard de Vinci,2
Quel est le plus long fleuve du monde?,Nil,2
Dans quel sport utilise-t-on un ballon ovale?,Rugby,2
Quel est le plus grand océan du monde?,Pacifique,2
Quel pays a la forme d'une botte?,Italie,2
Quelle langue parle-t-on principalement au Brésil?,Portugais,2
Quel est l'auteur de Harry Potter?,J.K. Rowling,2
Quel est le plus grand pays du monde?,Russie,2
Quel est le plus petit continent?,Océanie,2
Quel est le symbole chimique de l'eau?,H2O,2
Quel organe permet de respirer?,Poumons,2
7+5,12,1
15+27,42,1
100-58,42,1
45+37,82,1
200-89,111,1
19+23,42,1
3*12,36,1
6*8,48,1
9*9,81,1
12*4,48,1
10*7,70,1
11*11,121,1
14*14,196,1
37*24,888,1
300*300,90000,1
42/6,7,1
64/8,8,1
81/9,9,1
50/2,25,1
72/9,8,1
96/12,8,1
10000/100,100,1
5²,25,1
7²,49,1
16²,256,1
20²,400,1
3³,27,1
4³,64,1
2^5,32,1